model_uuid,conv_cnt,linear_cnt,relu_cnt,lrelu_cnt,avg_pooling_cnt,max_pooling_cnt,out_features,linear_input_features,conv_kernel_size_2,conv_kernel_size_3,time
25620dd8-744f-4bce-83b1-21f0b9790ea1,7,2,5,2,1,2,101,384,7,7,0.0027999877929687
acf13e99-0057-4934-a148-e419a4f5b024,4,3,1,3,1,1,18,3072,4,4,0.0021997451782226
4246b83c-53d5-4f94-93f7-a815b6b003f0,5,3,0,5,1,1,40,98304,5,5,0.0076001644134521
99850262-4f21-48c2-8672-c0d5e77ce26a,5,1,4,1,1,2,291,21600,5,5,0.0042071342468261
3b1b42d1-33ac-4258-b529-c53440a347bb,5,2,5,0,1,1,51,4704,5,5,0.0026000499725341
16012e66-16dd-4add-83bf-37432954cab9,6,2,0,6,2,1,123,768,6,6,0.0031941890716552
cff6d895-51fd-44ca-bd69-dfef90a836e8,3,3,1,2,1,1,65,21600,3,3,0.0040005207061767
293f66f8-ee3f-47bf-92ba-a099adc8cc78,6,3,4,2,1,2,20,32448,6,6,0.0044005393981933
ad577e0c-b04e-4d22-92bf-595ce590e616,5,2,0,5,1,1,138,384,5,5,0.0025999546051025
59cc24ec-ac33-4133-a287-7809e34c7204,4,2,2,2,2,0,85,40368,4,4,0.0046000957489013
919790f4-2136-4f2f-b5d9-69c76f644060,4,1,0,4,2,0,192,12288,4,4,0.0031924247741699
3572e591-a8ff-4c0d-8328-aa8a4ba63189,3,1,2,1,1,1,98,6144,3,3,0.0016079902648925
176469c3-226e-4e47-a22f-30b1aa7615c2,4,1,3,1,1,1,233,13872,4,4,0.0030001163482666
b5c922e4-f373-4cf3-91c5-402a29a7885a,8,2,0,8,3,0,44,768,8,8,0.0040005683898925
2251a461-b82a-4d33-bb04-8dbde644d01e,2,3,0,2,1,1,64,46128,2,2,0.0070000171661376
3ae974e6-95bd-4db8-9ce0-b4b52a59e09a,5,3,0,5,0,2,44,4704,5,5,0.0018000125885009
af813746-074c-4cdd-ae7a-92c71e94befb,5,1,3,2,1,2,85,384,5,5,0.0020004749298095
bf501537-44fb-4079-b2ad-a46095e2f999,6,3,2,4,2,1,69,12288,6,6,0.0072009086608886
a76c702b-cdf5-4bf1-8362-0460cf8f6ebd,7,2,5,2,2,1,112,9600,7,7,0.0062005996704101
98affa1b-894a-4bbf-a9c5-394bfc9ce00c,3,2,2,1,2,1,106,5400,3,3,0.0016000747680664
98d7b6b3-d1a7-49c0-9dc4-ce883bc7c103,4,3,0,4,0,2,40,10800,4,4,0.0042003631591796
6a64cad8-9e48-4c65-b190-d0bfa7ec0e2f,6,3,3,3,1,1,36,12288,6,6,0.0049997329711914
9bceffed-f505-4bde-87e5-d4e45e7e3941,4,1,0,4,1,1,58,9408,4,4,0.0017998218536376
e59dd87b-540b-41d0-99b8-2536195fdf95,3,3,2,1,0,2,44,23064,3,3,0.0037995338439941
af84da58-e12b-4d9f-a1d2-1592fa71b7db,5,3,2,3,1,1,28,6144,5,5,0.0031995773315429
fac9f9c2-175f-4bab-844a-423f8488b253,7,3,0,7,3,0,10,3456,7,7,0.0032002449035644
a8afde59-0174-4e0a-88d2-e61b4ffa9d1c,9,3,6,3,2,1,62,443904,9,9,0.0626330852508545
dd77cf20-99c3-45be-b8ed-f28db0ca0e4c,4,3,4,0,2,0,9,9408,4,4,0.0024006843566894
57b263f3-466c-4860-a327-f12f9e402c67,2,2,1,1,1,1,114,11532,2,2,0.0024029731750488
ef9cdc5e-e45a-4eca-b266-a60d78e12736,5,2,5,0,1,2,147,4704,5,5,0.0040019035339355
6fae1f9e-b6da-447d-8a06-d50ce9aeeb18,6,2,6,0,0,3,113,43200,6,6,0.0060010910034179
9f6d3051-c8be-4ba2-9d1f-3335540934c5,8,2,3,5,0,3,117,3072,8,8,0.0644001960754394
66767466-9f64-489b-87a0-0a4883212d05,6,3,4,2,2,1,66,768,6,6,0.0214000701904296
009e1e56-ad64-47ba-8d85-8eeab584b31e,5,3,1,4,0,3,49,6144,5,5,0.036600112915039
8c91c96f-fe85-49c9-8ed7-1b88b08a1168,4,1,0,4,1,1,42,172800,4,4,0.0416931629180908
81b93158-5f76-4a8b-b38b-31cbe8b9f1b7,5,3,2,3,1,2,37,1536,5,5,0.0034013271331787
2181bc85-a259-4d6d-9719-fe928af5e91b,5,1,5,0,1,1,299,6144,5,5,0.0044000625610351
e1238df4-06f6-4b9e-afb0-cc460c60353b,7,2,6,1,0,3,84,18816,7,7,0.0098678588867187
f851efca-52be-4f23-91cc-b22d44628471,3,2,2,1,0,2,42,23064,3,3,0.0028007507324218
5d899a5c-ef17-43b3-a57a-a06a77554e68,8,3,3,5,1,2,47,12288,8,8,0.0084002971649169
dc4090c5-8b28-480c-9ca8-f5ab3a850874,3,1,3,0,1,1,174,5400,3,3,0.0032002449035644
c7b5bc46-44ca-4265-9f4f-3dd734d61b32,6,2,0,6,2,1,92,184512,6,6,0.0170000076293945
a1412de6-4732-4d1a-becd-c20978be9682,4,1,2,2,1,1,133,12288,4,4,0.0026001930236816
21e69e9c-0ae5-4630-a2c3-bcb67d795aa5,5,3,2,3,0,2,63,4704,5,5,0.0034000396728515
9b52e1fa-a773-4c03-9044-17b063b1b8f9,5,2,2,3,1,1,106,1536,5,5,0.003600263595581
f2003c1d-99fc-4570-88eb-54f6e2d84bc4,4,1,3,1,0,2,40,190512,4,4,0.0137999057769775
4a4c3a9e-6604-44d5-82a2-0e7564adc270,6,2,3,3,2,0,106,1728,6,6,0.0055935382843017
b7816811-b2f2-49c6-ac1e-7341ecdc6d53,5,2,0,5,2,0,126,18816,5,5,0.0062074184417724
01b39202-72f1-49a0-aa1e-7b14080ad1c0,7,1,4,3,2,1,177,3456,7,7,0.0034004688262939
e3f8c392-13bf-4853-a2eb-a7ff9b7db801,6,3,4,2,1,2,41,192,6,6,0.0029932498931884
b66b2f4f-8926-4582-9c3d-3d5f09e5dea9,3,1,0,3,1,1,95,26136,3,3,0.0040000438690185
6a3f2d7a-9a8a-4368-b177-083a7961b6dd,4,1,0,4,1,1,231,10800,4,4,0.0034064292907714
